Evidence,Property,Source,Genome Name,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Source ID,Source Organism,Gene,Product,Function,Classification,PubMed,Subject Coverage,Query Coverage,Identity,E-value
"BLAT","Virulence Factor","VFDB","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.3082",,,"VFG000551","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","spaP","Type III secretion inner membrane protein (YscR,SpaR,HrcR,EscR,homologous to flagellar export components); Surface presentation of antigens protein SpaP",,"Secretion system,Type III secretion system,Invasion",,100,100,100,"1e-123"
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.4554",,,"P0ABN9","Escherichia coli",,"Anaerobic C4-dicarboxylate transporter DcuB","the c4-dicarboxylate uptake (dcu) family.","2.A.13.1.2","15919996;16738553;2656658;7610040;7961398;8131924;9278503",100,100,97,"1e-249"
"BLAT","Virulence Factor","Victors","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.2380",,,"15802700","Escherichia coli O157:H7 str. EDL933","sanA","SanA protein",,"","15528651",100,100,93,"1e-129"
"BLAT","Virulence Factor","PATRIC_VF","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.1451",,,"SL1344_1292","Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344","aroD","3-dehydroquinate dehydratase I (EC 4.2.1.10)",,"Virulence","12819049",100,100,100,"1e-137"
"BLAT","Virulence Factor","Victors","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.1490",,,"16764747","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","sseA","Secretion system effector SseA",,"",,99,100,100,"6e-54"
"BLAT","Antibiotic Resistance","CARD","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.2689",,,"YP_490697.1","Escherichia coli str. K-12 substr. W3110","acrD","Aminoglycosides efflux system AcrAD-TolC, inner-membrane proton/drug antiporter AcrD (RND type)",,"efflux pump conferring antibiotic resistance",,99,99,94,"0.0"
"BLAT","Virulence Factor","PATRIC_VF","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.1498",,,"SL1344_1339","Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344","sseG","Type III secretion effector SseG",,"Intracellular survival and replication,Intracellular survival and replication,Invasion","10998173;15699204;16113260",100,100,100,"1e-131"
"BLAT","Virulence Factor","VFDB","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.1497",,,"VFG000505","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","sseF","Type III secretion effector SseF",,"Secretion system,Type III secretion system",,100,100,100,"1e-144"
"K-mer Search","Antibiotic Resistance","PATRIC","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.4782",,,,,"MdtM","Multidrug efflux pump MdtM (of MFS type)","Multidrug efflux pump MdtM (of MFS type)","efflux pump conferring antibiotic resistance","23221628",,,,
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","fig|588858.76.peg.4232",,,"P0AFZ7","Escherichia coli",,"Trk potassium uptake system protein TrkH","the k(+) transporter (trk) family.","2.A.38.1.1","1379743;15919996;16397293;16738553;2243799;2674131;7896723;7961514;8412700;9086272;9278503",100,100,97,"1e-277"
