Evidence,Property,Source,Genome Name,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Source ID,Source Organism,Gene,Product,Function,Classification,PubMed,Subject Coverage,Query Coverage,Identity,E-value
"BLAT","Virulence Factor","Victors","Escherichia coli IAI1","fig|585034.5.peg.2095","ECIAI1_2123","VBIEscCol26572_2095","15802510","Escherichia coli O157:H7 str. EDL933","cpsG","Phosphomannomutase (EC 5.4.2.8) => Colanic acid",,,"15528651",100,100,96,"1e-262"
"BLASTP","Human Homolog","Human","Escherichia coli IAI1","fig|585034.5.peg.1814","ECIAI1_1843","VBIEscCol26572_1814","NP_002037.2","Homo sapiens","gapA","NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)",,,,98,99,66,"3e-158"
"BLAT","Transporter","TCDB","Escherichia coli IAI1","fig|585034.5.peg.4241","ECIAI1_4371","VBIEscCol26572_4241","P0ABN5","Escherichia coli","dcuA","Anaerobic C4-dicarboxylate transporter DcuA","the c4-dicarboxylate uptake (dcu) family.","2.A.13.1.1","15919996;16738553;2656658;2987841;3541901;7610040;7961398;8131924;9278503;9733683",92,99,100,"1e-224"
"BLAT","Virulence Factor","Victors","Escherichia coli IAI1","fig|585034.5.peg.1016","ECIAI1_1027","VBIEscCol26572_1016","15800907","Escherichia coli O157:H7 str. EDL933","ymcC","Uncharacterized lipoprotein YmcC precursor",,,"15528651",100,100,99,"1e-120"
"BLAT","Virulence Factor","PATRIC_VF","Escherichia coli IAI1","fig|585034.5.peg.1917","ECIAI1_1946","VBIEscCol26572_1917","STM14_2302","Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","znuB","Zinc ABC transporter, permease protein ZnuB",,"Virulence","21219981",100,100,96,"1e-137"
"BLAT","Drug Target","DrugBank","Escherichia coli IAI1","fig|585034.5.peg.4482","ECIAI1_4616","VBIEscCol26572_4482","P0AGC3","Escherichia coli (strain K12)","slt","Soluble lytic murein transglycosylase (EC 4.2.2.n1)","Bulgecin A","Drug target",,100,100,100,"0.0"
"BLAT","Drug Target","TTD","Escherichia coli IAI1","fig|585034.5.peg.4071","ECIAI1_4189","VBIEscCol26572_4071","TTDR01102",,"murB","UDP-N-acetylenolpyruvoylglucosamine reductase (EC 1.3.1.98)",,,,100,100,98,"1e-200"
"BLAT","Transporter","TCDB","Escherichia coli IAI1","fig|585034.5.peg.2437","ECIAI1_2474","VBIEscCol26572_2437","P08839","Escherichia coli","ptsI","Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)","the phosphotransferase system enzyme i (ei) family.","8.A.7.1.1","10048929;16738553;17053069;2411636;2457575;2960675;3290198;7876255;8805571;9054557;9205837;9278503;9298646;9541412",100,100,99,"0.0"
"BLAT","Drug Target","DrugBank","Escherichia coli IAI1","fig|585034.5.peg.338","ECIAI1_0345","VBIEscCol26572_0338","P00722","Escherichia coli (strain K12)","lacZ","beta-galactosidase (EC 3.2.1.23)","'Isopropyl beta-D-thiogalactopyranoside;D-Galctopyranosyl-1-On;1-O-[O-Nitrophenyl]-Beta-D-Galactopyranose;2-deoxy-2-fluoro-�_-D-galactose;(5r,6s,7s,8s)-5-Hydroxymethyl-6,7,8-Trihydroxy-Tetrazolo[1,5-a]Piperidine;4-nitrophenyl-beta-D-galactoside;Allolactose;2-Fluoro-2-Deoxy-Beta-D-Galactopyranosyl-Beta-D-Glucopyranose;2-Deoxy-Beta-D-Galactose;Lactose;S,S-(2-Hydroxyethyl)Thiocysteine'","Drug target",,100,100,97,"0.0"
"BLAT","Transporter","TCDB","Escherichia coli IAI1","fig|585034.5.peg.509","ECIAI1_0513","VBIEscCol26572_0509","P75712","Escherichia coli (strain K12)","ybbW","Allantoin permease","the nucleobase:cation symporter-1 (ncs1) family.","2.A.39.3.8","10601204;15919996;16738553;9278503",100,100,98,"1e-281"
