Evidence,Property,Source,Genome Name,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Source ID,Source Organism,Gene,Product,Function,Classification,PubMed,Subject Coverage,Query Coverage,Identity,E-value
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.2049","STM1922",,"P0AF06","Escherichia coli","motB","Flagellar motor rotation protein MotB","the h(+)- or na(+)-translocating bacterial flagellar motor/exbbd outer membrane transport energizer (mot/exb) superfamily.","1.A.30.1.1","15919996;16738553;1719217;2002011;2061285;2447650;3007435;6090403;7643400;9097040;9278503",100,100,90,"1e-160"
"BLAT","Drug Target","DrugBank","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.825",,,"Q88CZ6","Pseudomonas putida (strain KT2440)","hutU","Urocanate hydratase (EC 4.2.1.49)","trans-urocanic acid","Drug target",,30,93,87,"7e-84"
"BLAT","Antibiotic Resistance","CARD","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.735","STM0702",,"NP_415222.1","Escherichia coli str. K-12 substr. MG1655","kdpE","DNA-binding response regulator KdpE",,"aminoglycoside resistance gene",,99,99,91,"1e-116"
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.1838","STM1732",,"Q8ZP50","Salmonella typhimurium","ompW","Outer membrane protein W precursor","the bacterial porin, ompw (ompw) family.","1.B.39.1.1","11677609",100,100,100,"1e-124"
"BLAT","Virulence Factor","Victors","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.13","STM0012",,"190151264","Actinobacillus pleuropneumoniae serovar 7 str. AP76 ","dnaK","Chaperone protein DnaK",,"","10873489",92,92,81,"1e-277"
"BLAT","Virulence Factor","Victors","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.3205","STM3018",,"16766320","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 ","kduI","4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase (EC 5.3.1.17)",,"","17526851",100,100,100,"1e-163"
"BLAT","Antibiotic Resistance","CARD","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.1948","STM1840",,"NP_416340.1","Escherichia coli str. K-12 substr. MG1655","mgrB","PhoP/PhoQ regulator MgrB",,"efflux pump conferring antibiotic resistance,gene altering cell wall charge conferring antibiotic resistance,gene conferring resistance via absence,gene modulating antibiotic efflux,polymyxin resistance gene",,100,100,87,"1e-18"
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.1795","STM1694",,"P0A2J5","Salmonella typhimurium","sapC","Peptide ABC transporter, permease protein SapC","the atp-binding cassette (abc) superfamily.","3.A.1.5.5","11677609;8223423",100,100,100,"1e-168"
"BLAT","Virulence Factor","PATRIC_VF","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.3977","STM3742",,"SEN3564","Salmonella enterica subsp. enterica serovar Enteritidis str. P125109","spoT","Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase (EC 3.1.7.2) / GTP pyrophosphokinase (EC 2.7.6.5), (p)ppGpp synthetase II",,"Virulence","19577637",100,100,100,"0.0"
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.2845","STM2685",,"P0A937","Escherichia coli (strain K12)","smpA","Outer membrane beta-barrel assembly protein BamE","the outer membrane protein insertion porin (bam complex) (ompip) family.","1.B.33.1.3","11179681;12384590;12704152;15851030;16079137;16738553;1885529;2045357;2120198;9205837;9278503",97,98,93,"5e-55"
"BLAT","Drug Target","DrugBank","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.1057","STM0998",,"P00509","Escherichia coli (strain K12)","aspC","Aspartate aminotransferase (EC 2.6.1.1)","N-Methyl-Pyridoxal-5'-Phosphate;3-phenylpropionic acid;Indolylpropionic Acid;Vitamin B6 Complexed with 2-Amino-Hexanoic Acid;Glutaric Acid;Pyridoxal-5'-Phosphate-N-Oxide;Vitamin B6 Complexed with 2-Amino-Pentanoic Acid;Isovaleric Acid;N'-Pyridoxyl-Lysine-5'-Monophosphate;Maleic Acid;Pyridoxyl-Alanine-5-Phosphate;N-PYRIDOXYL-D-GLUTAMIC ACID-5'-MONOPHOSPHATE;N-PYRIDOXYL-2-METHYL-L-GLUTAMIC ACID-5'-MONOPHOSPHATE","Drug target",,100,100,95,"1e-223"
"BLAT","Transporter","TCDB","Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","fig|99287.836.peg.4050","STM3805",,"P0ADM0","Escherichia coli (strain K12)","yidH","Inner membrane protein YidH","the uncharacterized duf202/yidh (yidh) family.","9.B.51.1.1",,100,100,94,"3e-56"
