Evidence,Property,Source,Genome Name,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Source ID,Source Organism,Gene,Product,Function,Classification,PubMed,Subject Coverage,Query Coverage,Identity,E-value
BLAT,Virulence Factor,PATRIC_VF,Escherichia coli strain fosA_Ecoli_2,fig|562.50966.peg.1491,,,BWG_0835,Escherichia coli BW2952,gfcE,Putative polysaccharide export protein YccZ precursor,,Capsule,16030220,100,100,100,1.00E-218
BLAT,Virulence Factor,PATRIC_VF,Escherichia coli strain ecoli011,fig|562.39487.peg.1909,BANRA_01482,,BWG_0833,Escherichia coli BW2952,etk,Tyrosine-protein kinase (EC 2.7.10.2),,Capsule,16030220,89,100,99,0
BLAT,Virulence Factor,PATRIC_VF,Escherichia coli O45:H2 str. 01-3147,fig|1446740.3.peg.507,BW74_22265,,c4914,Escherichia coli CFT073,,"Phosphoethanolamine transferase EptC [E.coli], specific for LPS heptose I residue",,Invasion,10456927,100,100,98,0
BLAT,Virulence Factor,PATRIC_VF,Escherichia coli O121:H19 str. 06-3822,fig|1446554.3.peg.3283,BW93_16040,,SL1344_1766,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,,Cold shock protein of CSP family => CspC (naming convention as in E.coli),,Virulence,16518469,100,100,100,2.00E-33
BLAT,Virulence Factor,PATRIC_VF,Escherichia coli strain ecoli022,fig|562.39497.peg.2287,BANRA_01522,,BWG_0837,Escherichia coli BW2952,gfcC,Uncharacterized protein GfcC,,Capsule,16030220,100,100,100,1.00E-142
BLAT,Virulence Factor,PATRIC_VF,Escherichia coli strain XH990,fig|562.68394.peg.4634,BW242_26325,,c4914,Escherichia coli CFT073,yijP,"Phosphoethanolamine transferase EptC [E.coli], specific for LPS heptose I residue",,Invasion,10456927,100,100,99,0
BLAT,Virulence Factor,PATRIC_VF,Escherichia coli strain ecoli008,fig|562.39484.peg.2695,BANRA_02301,,BWG_0838,Escherichia coli BW2952,gfcB,Uncharacterized lipoprotein YmcC precursor,,Capsule,16030220,100,100,100,1.00E-121
BLAT,Virulence Factor,PATRIC_VF,Escherichia coli O78:H12 str. 00-3279,fig|1446756.3.peg.4698,BW72_05735,,c4914,Escherichia coli CFT073,,"Phosphoethanolamine transferase EptC [E.coli], specific for LPS heptose I residue",,Invasion,10456927,100,100,98,0
BLAT,Virulence Factor,PATRIC_VF,Escherichia coli strain ecoli009,fig|562.39485.peg.5788,BANRA_04657,,BWG_0837,Escherichia coli BW2952,gfcC,Uncharacterized protein GfcC,,Capsule,16030220,100,100,100,1.00E-142
BLAT,Virulence Factor,PATRIC_VF,Escherichia coli strain BW25113,fig|562.45699.peg.4143,E1A98_20165,,c4914,Escherichia coli CFT073,yijP,"Phosphoethanolamine transferase EptC [E.coli], specific for LPS heptose I residue",,Invasion,10456927,100,100,99,0
BLAT,Virulence Factor,PATRIC_VF,Escherichia coli strain fosA_Ecoli_2,fig|562.50966.peg.1494,,,BWG_0838,Escherichia coli BW2952,gfcB,Uncharacterized lipoprotein YmcC precursor,,Capsule,16030220,100,100,100,1.00E-121
BLAT,Virulence Factor,PATRIC_VF,Escherichia coli O111:NM str. 04-3211,fig|1446514.3.peg.1750,BW82_05855,,SL1344_0617,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,,Cold shock protein of CSP family => CspE (naming convention as in E.coli),,Virulence,16518469,98,100,98,2.00E-32
BLAT,Virulence Factor,PATRIC_VF,Escherichia coli S19_ecoli,fig|562.131959.peg.4182,LVK54_22390,,BWG_0836,Escherichia coli BW2952,gfcD,Uncharacterized lipoprotein GfcD,,Capsule,16030220,100,100,98,0
BLAT,Virulence Factor,PATRIC_VF,Escherichia coli strain E.coli C142,fig|562.31003.peg.4646,,,BWG_0833,Escherichia coli BW2952,etk,Tyrosine-protein kinase (EC 2.7.10.2),,Capsule,16030220,100,100,99,0
BLAT,Virulence Factor,PATRIC_VF,Escherichia coli BW25113,fig|679895.18.peg.1839,BW25113_1823,,SL1344_1766,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,cspC,Cold shock protein of CSP family => CspC (naming convention as in E.coli),,Virulence,16518469,100,100,100,2.00E-33
BLAT,Virulence Factor,PATRIC_VF,Escherichia coli strain ecoli026,fig|562.39501.peg.2418,BANRA_02168,,BWG_0833,Escherichia coli BW2952,etk,Tyrosine-protein kinase (EC 2.7.10.2),,Capsule,16030220,100,100,99,0
BLAT,Virulence Factor,PATRIC_VF,Escherichia coli strain ecoli026,fig|562.39501.peg.2423,BANRA_02173,,BWG_0838,Escherichia coli BW2952,gfcB,Uncharacterized lipoprotein YmcC precursor,,Capsule,16030220,100,100,100,1.00E-121
BLAT,Virulence Factor,PATRIC_VF,Escherichia coli strain ecoli025,fig|562.39500.peg.2444,BANRA_01341,,BWG_0837,Escherichia coli BW2952,gfcC,Uncharacterized protein GfcC,,Capsule,16030220,100,100,100,1.00E-142
BLAT,Virulence Factor,PATRIC_VF,Escherichia coli strain ecoli023,fig|562.39498.peg.740,BANRA_00652,,BWG_0839,Escherichia coli BW2952,gfcA,Threonine-rich inner membrane protein GfcA,,Capsule,16030220,100,100,100,2.00E-49
BLASTP,Virulence Factor,PATRIC_VF,Escherichia coli strain WQMCR,fig|562.17323.peg.217,BW735_08850,,SL1344_0617,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,,Cold shock protein of CSP family => CspE (naming convention as in E.coli),,Virulence,16518469,98,100,98,4.20E-45
BLAT,Virulence Factor,PATRIC_VF,Escherichia coli S18_ecoli,fig|562.131955.peg.4543,LVK60_22310,,BWG_0838,Escherichia coli BW2952,gfcB,Uncharacterized lipoprotein YmcC precursor,,Capsule,16030220,100,100,99,1.00E-120
BLAT,Virulence Factor,PATRIC_VF,Escherichia coli S17_ecoli,fig|562.131960.peg.4621,LVK61_20840,,BWG_0837,Escherichia coli BW2952,gfcC,Uncharacterized protein GfcC,,Capsule,16030220,100,100,98,1.00E-140
BLAT,Virulence Factor,PATRIC_VF,Escherichia coli BW2952,fig|595496.3.peg.3960,BWG_3623,VBIEscCol60876_3960,c4914,Escherichia coli CFT073,yijP,"Phosphoethanolamine transferase EptC [E.coli], specific for LPS heptose I residue",,Invasion,10456927,100,100,99,0
BLAT,Virulence Factor,PATRIC_VF,Escherichia coli O69:H11 str. 07-4281,fig|1446752.3.peg.1599,BW97_11210,,SL1344_0617,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,,Cold shock protein of CSP family => CspE (naming convention as in E.coli),,Virulence,16518469,98,100,98,2.00E-32
BLAT,Virulence Factor,PATRIC_VF,Escherichia coli O81:NM str. 02-3012,fig|1446761.3.peg.1113,BW75_22325,,SL1344_0617,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,,Cold shock protein of CSP family => CspE (naming convention as in E.coli),,Virulence,16518469,98,100,98,2.00E-32
BLAT,Virulence Factor,PATRIC_VF,Escherichia coli strain ecoli002,fig|562.39477.peg.4060,BANRA_03827,,BWG_0837,Escherichia coli BW2952,gfcC,Uncharacterized protein GfcC,,Capsule,16030220,100,100,99,1.00E-142
