Evidence,Property,Source,Genome Name,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Source ID,Source Organism,Gene,Product,Function,Classification,PubMed,Subject Coverage,Query Coverage,Identity,E-value
"BLAT","Antibiotic Resistance","CARD","Pseudomonas aeruginosa PAO1","fig|208964.933.peg.2635","QY488_12870",,"NP_251185.1","Pseudomonas aeruginosa PAO1","oprN","Multidrug efflux system, outer membrane factor lipoprotein => OprN of MexEF-OprN system",,"efflux pump conferring antibiotic resistance",,100,100,100,"1e-263"
"BLAT","Virulence Factor","VFDB","Pseudomonas aeruginosa PAO1","fig|208964.933.peg.82","QY488_00400",,"VFG002058","Pseudomonas aeruginosa PAO1","tagS","ABC-type antimicrobial peptide transport system, permease component",,"Secretion system,Type VI secretion system",,100,100,100,"1e-221"
"BLAT","Virulence Factor","VFDB","Pseudomonas aeruginosa PAO1","fig|208964.933.peg.4056","QY488_19940",,"VFG000147","Pseudomonas aeruginosa PAO1","exoS","putative exoenzyme T",,"Toxin,Type III translocated protein,ADP-ribosyltransferase and GTPase activating",,100,100,100,"1e-254"
"BLAT","Transporter","TCDB","Pseudomonas aeruginosa PAO1","fig|208964.933.peg.939","QY488_04585",,"O50181","Pseudomonas aeruginosa",,"Arginine/ornithine ABC transporter, substrate-binding protein AotJ","the atp-binding cassette (abc) superfamily.","3.A.1.3.11","10984043;9286980;9791103",100,100,100,"1e-145"
"BLAT","Virulence Factor","Victors","Pseudomonas aeruginosa PAO1","fig|208964.933.peg.4800","QY488_23685",,"15599760","Pseudomonas aeruginosa","PA4564","Conserved uncharacterized protein CreA",,"","14641575",100,100,100,"4e-83"
"BLAT","Virulence Factor","Victors","Pseudomonas aeruginosa PAO1","fig|208964.933.peg.4038","QY488_19850",,"15599021","Pseudomonas aeruginosa","PA3826","FIG018175: Predicted transmembrane protein",,"","14641575",100,100,100,"2e-93"
"BLAT","Antibiotic Resistance","CARD","Pseudomonas aeruginosa PAO1","fig|208964.933.peg.449","QY488_02175",,"NP_249116.1","Pseudomonas aeruginosa PAO1","mexA","Multidrug efflux system, membrane fusion component => MexA of MexAB-OprM",,"efflux pump conferring antibiotic resistance",,100,100,100,"1e-213"
"BLAT","Virulence Factor","VFDB","Pseudomonas aeruginosa PAO1","fig|208964.933.peg.81","QY488_00395",,"VFG002057","Pseudomonas aeruginosa PAO1","tagR","hypothetical protein",,"Secretion system,Type VI secretion system",,100,100,100,"0.0"
"BLAT","Transporter","TCDB","Pseudomonas aeruginosa PAO1","fig|208964.933.peg.554","QY488_02675",,"Q59647","Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228)","norB","Nitric-oxide reductase subunit B (EC 1.7.99.7)","the proton-translocating cytochrome oxidase (cox) superfamily.","3.D.4.10.3","10984043;7711073",100,100,100,"1e-278"
"BLAT","Drug Target","DrugBank","Pseudomonas aeruginosa PAO1","fig|208964.933.peg.745","QY488_03635",,"P26841","Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228)","cat","Chloramphenicol O-acetyltransferase (EC 2.3.1.28) => CatB family","Chloramphenicol;Chlorhexidine;Desulfo-Coenzyme A","Drug enzyme,Drug target",,100,100,100,"1e-127"
